{'5_flow_ch': '0.0', 'Number': 32754, '2_flow_ch': '0.64', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.0', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.0'}
{'5_flow_ch': '0.0', 'Number': 32755, '2_flow_ch': '0.90', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.45', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.11'}
{'5_flow_ch': '0.0', 'Number': 32756, '2_flow_ch': '1.02', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.30', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.03'}
{'5_flow_ch': '0.0', 'Number': 32757, '2_flow_ch': '0.75', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.15', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.22'}
{'5_flow_ch': '0.0', 'Number': 32758, '2_flow_ch': '0.71', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.34', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.0'}
{'5_flow_ch': '0.0', 'Number': 32759, '2_flow_ch': '0.94', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.41', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.26'}
{'5_flow_ch': '0.0', 'Number': 32760, '2_flow_ch': '0.71', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.41', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.15'}
{'5_flow_ch': '0.0', 'Number': 32761, '2_flow_ch': '0.75', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.15', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.26'}
{'5_flow_ch': '0.0', 'Number': 32762, '2_flow_ch': '0.87', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.53', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.34'}
{'5_flow_ch': '0.0', 'Number': 32763, '2_flow_ch': '0.64', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.11', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.26'}
