{'5_flow_ch': '0.0', '3_flow_ch': '0.37', '7_flow_ch': '0.0', '4_flow_ch': '0.34', '1_flow_ch': '0.49', '6_flow_ch': '0.0', 'Number': 23305, 'time': '8-16-13-25', '2_flow_ch': '0.15', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.49', '7_flow_ch': '0.0', '4_flow_ch': '0.03', '1_flow_ch': '0.75', '6_flow_ch': '0.0', 'Number': 23306, 'time': '8-16-13-25', '2_flow_ch': '0.15', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.49', '7_flow_ch': '0.0', '4_flow_ch': '0.15', '1_flow_ch': '0.45', '6_flow_ch': '0.0', 'Number': 23307, 'time': '8-16-13-25', '2_flow_ch': '0.0', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.90', '7_flow_ch': '0.0', '4_flow_ch': '0.49', '1_flow_ch': '0.68', '6_flow_ch': '0.0', 'Number': 23308, 'time': '8-16-13-25', '2_flow_ch': '0.30', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.53', '7_flow_ch': '0.0', '4_flow_ch': '0.03', '1_flow_ch': '0.56', '6_flow_ch': '0.0', 'Number': 23309, 'time': '8-16-13-25', '2_flow_ch': '0.0', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.90', '7_flow_ch': '0.0', '4_flow_ch': '0.49', '1_flow_ch': '0.49', '6_flow_ch': '0.0', 'Number': 23310, 'time': '8-16-13-25', '2_flow_ch': '0.15', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.79', '7_flow_ch': '0.0', '4_flow_ch': '0.34', '1_flow_ch': '0.64', '6_flow_ch': '0.0', 'Number': 23311, 'time': '8-16-13-25', '2_flow_ch': '0.07', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.41', '7_flow_ch': '0.0', '4_flow_ch': '0.0', '1_flow_ch': '0.37', '6_flow_ch': '0.0', 'Number': 23312, 'time': '8-16-13-25', '2_flow_ch': '0.0', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.79', '7_flow_ch': '0.0', '4_flow_ch': '0.18', '1_flow_ch': '0.64', '6_flow_ch': '0.0', 'Number': 23313, 'time': '8-16-13-25', '2_flow_ch': '0.03', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.41', '7_flow_ch': '0.0', '4_flow_ch': '0.0', '1_flow_ch': '0.49', '6_flow_ch': '0.0', 'Number': 23314, 'time': '8-16-13-25', '2_flow_ch': '0.0', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.98', '7_flow_ch': '0.0', '4_flow_ch': '0.26', '1_flow_ch': '0.56', '6_flow_ch': '0.0', 'Number': 23315, 'time': '8-16-13-25', '2_flow_ch': '0.15', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.75', '7_flow_ch': '0.0', '4_flow_ch': '0.0', '1_flow_ch': '0.56', '6_flow_ch': '0.0', 'Number': 23316, 'time': '8-16-13-25', '2_flow_ch': '0.0', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.87', '7_flow_ch': '0.0', '4_flow_ch': '0.15', '1_flow_ch': '0.34', '6_flow_ch': '0.0', 'Number': 23317, 'time': '8-16-13-25', '2_flow_ch': '0.03', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.98', '7_flow_ch': '0.0', '4_flow_ch': '0.07', '1_flow_ch': '0.49', '6_flow_ch': '0.0', 'Number': 23318, 'time': '8-16-13-25', '2_flow_ch': '0.07', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.56', '7_flow_ch': '0.0', '4_flow_ch': '0.0', '1_flow_ch': '0.30', '6_flow_ch': '0.0', 'Number': 23319, 'time': '8-16-13-25', '2_flow_ch': '0.0', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.98', '7_flow_ch': '0.0', '4_flow_ch': '0.07', '1_flow_ch': '0.45', '6_flow_ch': '0.0', 'Number': 23320, 'time': '8-16-13-25', '2_flow_ch': '0.15', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.60', '7_flow_ch': '0.0', '4_flow_ch': '0.0', '1_flow_ch': '0.45', '6_flow_ch': '0.0', 'Number': 23321, 'time': '8-16-13-25', '2_flow_ch': '0.0', '8_flow_ch': '0.0'}
